word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
tiger,TIGER,TIGER,TIGRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
zebra,ZEBRA,ZEBRA,ZÈBRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
panda,PANDA,PANDA,PANDA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
koala,KOALA,KOALA,KOALA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
camel,CAMEL,KAMEL,CHAMEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
otter,OTTER,UTTER,LOUTRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
hyena,HYENA,HYENA,HYÈNE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
lion,LION,LEJON,LION,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
bear,BEAR,BJÖRN,OURS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
rabbit,RABBIT,KANIN,LAPIN,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
magpie,MAGPIE,SKATA,PIE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
crow,CROW,KRÅKA,CORNEILLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,animals,Animals,Djur,Animaux,1,seed,,true
