word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
apple,APPLE,ÄPPLE,POMME,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
melon,MELON,MELON,MELON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
mango,MANGO,MANGO,MANGUE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
guava,GUAVA,GUAVA,GOYAVE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
pear,PEAR,PÄRON,POIRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
date,DATE,DADEL,DATTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
fig,FIG,FIKON,FIGUE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
banana,BANANA,BANAN,BANANE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
coconut,COCONUT,KOKOS,NOIX DE COCO,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
cocoa,COCOA,KAKAO,CACAO,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
rosehip,ROSEHIP,NYPON,ÉGLANTINE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
grape,GRAPE,DRUVA,RAISIN,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
agave,AGAVE,AGAVE,AGAVE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
tomato,TOMATO,TOMAT,TOMATE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
pumpkin,PUMPKIN,PUMPA,CITROUILLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
berry,BERRY,BÄR,BAIE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
peach,PEACH,PERSIKA,PÊCHE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
lemon,LEMON,CITRON,CITRON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
pears,PEARS,PÄRON,POIRES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
plums,PLUMS,PLOMMON,PRUNES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
dates,DATES,DADLAR,DATTES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
limes,LIMES,LIME,CITRONS VERTS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
kiwis,KIWIS,KIWIS,KIWIS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
seeds,SEEDS,FRÖN,GRAINES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,fruits,Fruits,Frukter,Fruits,1,seed,,true
