word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
lilac,LILAC,SYREN,LILAS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
lotus,LOTUS,LOTUS,LOTUS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
weed,WEED,OGRÄS,MAUVAISE HERBE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
birch,BIRCH,BJÖRK,BOULEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
cedar,CEDAR,CEDER,CÈDRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
bush,BUSH,BUSKE,BUISSON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
lily,LILY,LILJA,LYS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
aster,ASTER,ASTER,ASTER,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
flora,FLORA,FLORA,FLORE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
bud,BUD,KNOPP,BOURGEON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
moss,MOSS,MOSSA,MOUSSE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
yucca,YUCCA,YUCCA,YUCCA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
heather,HEATHER,LJUNG,BRUYÈRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
grass,GRASS,GRÄS,HERBE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
tulip,TULIP,TULPAN,TULIPE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
roses,ROSES,ROSOR,ROSES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
ferns,FERNS,ORMBUNKAR,FOUGÈRES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
weeds,WEEDS,OGRÄS,MAUVAISES HERBES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
roots,ROOTS,RÖTTER,RACINES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
seeds,SEEDS,FRÖN,GRAINES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
bloom,BLOOM,BLOMMA,FLORAISON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
stalk,STALK,STJÄLK,TIGE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
trees,TREES,TRÄD,ARBRES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
aspen,ASPEN,ASP,TREMBLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
maple,MAPLE,LÖNN,ÉRABLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
beech,BEECH,BOK,HÊTRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
pines,PINES,TALLAR,PINS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
oak,OAK,EK,CHÊNE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
willow,WILLOW,PIL,SAULE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
elm,ELM,ALM,ORME,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
spruce,SPRUCE,GRAN,ÉPICÉA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
rowan,ROWAN,RÖNN,SORBIER,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
hazel,HAZEL,HASSEL,NOISETIER,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
orchid,ORCHID,ORKIDE,ORCHIDÉE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
daisy,DAISY,TUSENSKÖNA,MARGUERITE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
poppy,POPPY,VALLMO,COQUELICOT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
violet,VIOLET,VIOL,VIOLETTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
peony,PEONY,PION,PIVOINE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
dahlia,DAHLIA,DAHLIA,DAHLIA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
cactus,CACTUS,KAKTUS,CACTUS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
ivy,IVY,MURGRÖNA,LIERRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
nettle,NETTLE,NÄSSLA,ORTIE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
thistle,THISTLE,TISTEL,CHARDON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
clover,CLOVER,KLÖVER,TRÈFLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
reed,REED,VASS,ROSEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
leaf,LEAF,LÖV,FEUILLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
root,ROOT,ROT,RACINE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
branch,BRANCH,GREN,BRANCHE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
trunk,TRUNK,STAM,TRONC,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,plants,Plants,Växter,Plantes,1,seed,,true
