word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
candy,CANDY,GODIS,BONBON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
pizza,PIZZA,PIZZA,PIZZA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
tacos,TACOS,TACOS,TACOS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
sushi,SUSHI,SUSHI,SUSHI,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
pasta,PASTA,PASTA,PÂTES,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
loaf,LOAF,LIMPA,MICHE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
syrup,SYRUP,SIRAP,SIROP,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cinnamon,CINNAMON,KANEL,CANNELLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
milk,MILK,MJÖLK,LAIT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
pork,PORK,FLÄSK,PORC,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
sausage,SAUSAGE,PÖLSA,SAUCISSE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
kefir,KEFIR,KEFIR,KÉFIR,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
muesli,MUESLI,MUSLI,MUESLI,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
coffee,COFFEE,KAFFE,CAFÉ,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cider,CIDER,CIDER,CIDRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
juice,JUICE,JUICE,JUS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
mustard,MUSTARD,SENAP,MOUTARDE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
salsa,SALSA,SALSA,SALSA,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cod,COD,TORSK,CABILLAUD,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
stout,STOUT,STOUT,STOUT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
noodle,NOODLE,NUDEL,NOUILLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
bagel,BAGEL,BAGEL,BAGEL,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
soup,SOUP,SOPPA,SOUPE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
chips,CHIPS,CHIPS,CHIPS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
crisps,CRISPS,CHIPS,CHIPS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
flour,FLOUR,MJÖL,FARINE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
sugar,SUGAR,SOCKER,SUCRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
bread,BREAD,BRÖD,PAIN,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
spice,SPICE,KRYDDA,ÉPICE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
salts,SALTS,SALT,SELS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
sauce,SAUCE,SÅS,SAUCE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
water,WATER,VATTEN,EAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cream,CREAM,GRÄDDE,CRÈME,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
yeast,YEAST,JÄST,LEVURE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
honey,HONEY,HONUNG,MIEL,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cakes,CAKES,KAKOR,GÂTEAUX,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
steak,STEAK,STEK,STEAK,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
onion,ONION,LÖK,OIGNON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
butter,BUTTER,SMÖR,BEURRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cheese,CHEESE,OST,FROMAGE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
rice,RICE,RIS,RIZ,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
salt,SALT,SALT,SEL,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
pepper,PEPPER,PEPPAR,POIVRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
vinegar,VINEGAR,VINÄGER,VINAIGRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
jam,JAM,SYLT,CONFITURE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
beef,BEEF,NÖTKÖTT,BOEUF,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
ham,HAM,SKINKA,JAMBON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
bacon,BACON,BACON,BACON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
tofu,TOFU,TOFU,TOFU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
yoghurt,YOGHURT,YOGHURT,YAOURT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
waffle,WAFFLE,VÅFFLA,GAUFRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
pancake,PANCAKE,PANNKAKA,CRÊPE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
cookie,COOKIE,KAKA,BISCUIT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
chocolate,CHOCOLATE,CHOKLAD,CHOCOLAT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
vanilla,VANILLA,VANILJ,VANILLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
garlic,GARLIC,VITLÖK,AIL,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
broth,BROTH,BULJONG,BOUILLON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
fish,FISH,FISK,POISSON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
shrimp,SHRIMP,RÄKA,CREVETTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
tuna,TUNA,TONFISK,THON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
oats,OATS,HAVRE,AVOINE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
barley,BARLEY,KORN,ORGE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,groceries,Groceries,Livsmedel,Épicerie,1,seed,,true
